id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
8098372,15782486,Top Trip Rentals,2014-05-20,"Austin, Texas, United States",within a few hours,97%,65%,f,Downtown,26.0,"['email', 'phone', 'reviews']",t,f
3281553,7335335,Lorna,2013-07-07,"Austin, Texas, United States",within a few hours,100%,88%,t,Allendale,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']",t,t
1643831,8724842,Jennifer,2013-09-09,"Texas, United States",within a few hours,100%,,f,Brentwood,1.0,"['email', 'phone']",t,f
8612362,2488342,Dana,2012-05-29,"Austin, Texas, United States",within an hour,100%,86%,f,Allendale,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
5040775,5409929,Mark,2013-03-11,"Austin, Texas, United States",within an hour,100%,89%,f,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
5237709,8925891,Apryl,2013-09-18,"Austin, Texas, United States",within a few hours,100%,50%,f,Brentwood,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",t,t
5205299,23185858,Liz,2014-10-31,"Austin, Texas, United States",within a few hours,90%,91%,f,,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
2036294,10381875,Patricia,2013-12-02,"Austin, Texas, United States",within a few hours,100%,100%,f,Brentwood,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t
7728618,33666377,Caleb,2015-05-18,"Austin, Texas, United States",,,,f,Brentwood,3.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",t,t
5673558,29237885,Scott,2015-03-12,US,within a day,90%,93%,t,Allendale,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t
4208511,21536850,Judi,2014-09-19,"Austin, Texas, United States",within a few hours,100%,100%,f,Rosedale,2.0,"['email', 'phone', 'reviews']",t,f
3798024,2194671,Louie,2012-04-22,"Austin, Texas, United States",within a few hours,100%,50%,f,Rosedale,2.0,"['email', 'phone', 'reviews', 'jumio']",t,t
1556027,4641823,Erica,2013-01-09,"Austin, Texas, United States",within a few hours,100%,88%,f,Upper Boggy Creek,339.0,"['email', 'phone', 'google', 'reviews', 'kba']",t,t
5340370,27674647,Tera,2015-02-13,"Austin, Texas, United States",,,,f,Brentwood,1.0,"['email', 'phone']",t,f
8731536,45815628,Victoria,2015-10-05,"Austin, Texas, United States",,,,f,Allendale,1.0,"['phone', 'facebook']",t,f
8888471,12399486,Julie,2014-02-19,"Austin, Texas, United States",within a few hours,80%,100%,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']",t,t
4235416,4779911,Jeanne Claire,2013-01-20,"Austin, Texas, United States",within an hour,90%,100%,f,Brentwood,1.0,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t
5415298,28073297,Ryan,2015-02-20,"Austin, Texas, United States",,,,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
867806,245617,Peter,2010-09-26,"Austin, Texas, United States",within an hour,100%,100%,f,Allendale,2.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",t,t
3810677,4641823,Erica,2013-01-09,"Austin, Texas, United States",within a few hours,100%,88%,f,Upper Boggy Creek,339.0,"['email', 'phone', 'google', 'reviews', 'kba']",t,t
5660770,16750616,Rosalind,2014-06-13,"Austin, Texas, United States",,,,f,Brentwood,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,t
767425,1660838,Tatiana,2012-01-27,"Austin, Texas, United States",within a day,89%,100%,f,Brentwood,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",t,f
4151271,21536850,Judi,2014-09-19,"Austin, Texas, United States",within a few hours,100%,100%,f,Rosedale,2.0,"['email', 'phone', 'reviews']",t,f
5458052,28195166,Whitney,2015-02-22,"Austin, Texas, United States",,,,f,Allendale,1.0,"['email', 'phone']",t,f
5457288,28304366,Annemarie,2015-02-24,"Austin, Texas, United States",within an hour,100%,100%,t,Brentwood,1.0,"['email', 'phone', 'reviews']",t,f
7980816,27637240,Leslie,2015-02-12,"Austin, Texas, United States",within an hour,100%,100%,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",t,t
1068507,2690825,Maytal,2012-06-20,"Austin, Texas, United States",within a day,100%,,f,Rosedale,1.0,"['email', 'phone', 'reviews']",t,f
3742420,1488733,Brooke,2011-12-09,"Austin, Texas, United States",within a day,54%,93%,f,Zilker,21.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t
1956451,358081,Michelle,2011-01-22,US,,,,f,Rosedale,1.0,"['email', 'phone', 'reviews']",t,f
4219174,10453628,Amanda,2013-12-05,"Austin, Texas, United States",,,,f,Rosedale,1.0,"['email', 'phone', 'linkedin', 'kba']",t,t
1242559,582827,Troy,2011-05-12,"Austin, Texas, United States",within a few hours,100%,75%,t,Allendale,2.0,"['email', 'phone', 'reviews', 'kba']",t,t
