id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
8897550,450.0,2200.0,4800.0,,85.0,1,0.0,1,1125,True,6,22,52,327,2015-11-07
8325963,150.0,900.0,,,25.0,1,15.0,3,1125,True,0,0,0,32,2015-11-07
5213051,600.0,,,,,1,0.0,1,1125,True,0,9,9,263,2015-11-07
6570493,125.0,,,200.0,65.0,2,35.0,1,1125,True,9,34,60,317,2015-11-07
2493678,375.0,,,500.0,90.0,1,0.0,1,1125,True,30,60,90,365,2015-11-07
4099322,150.0,,,,115.0,1,0.0,2,165,True,12,37,46,296,2015-11-07
8064256,75.0,,,,,2,15.0,1,1125,True,23,53,83,351,2015-11-07
4820267,125.0,1050.0,2750.0,450.0,85.0,2,95.0,1,1125,True,0,0,0,250,2015-11-07
953640,109.0,,,,50.0,2,50.0,1,1125,True,29,59,89,364,2015-11-07
5303955,200.0,,,500.0,100.0,2,50.0,2,1125,True,8,35,35,280,2015-11-07
2010358,75.0,,,200.0,40.0,1,15.0,1,1125,True,15,45,73,348,2015-11-07
5901889,235.0,1134.0,3744.0,250.0,110.0,4,0.0,2,1125,True,18,39,59,136,2015-11-07
8294001,500.0,,,,,1,0.0,3,1125,True,30,60,90,365,2015-11-07
5279393,300.0,,,,,1,0.0,2,10,True,11,11,11,259,2015-11-07
823032,925.0,,,250.0,130.0,6,100.0,2,4,True,30,60,90,365,2015-11-07
2267004,249.0,,,,145.0,1,0.0,2,180,True,17,38,68,336,2015-11-07
8556408,350.0,,,250.0,40.0,1,0.0,1,1125,True,0,0,0,17,2015-11-07
5640082,195.0,1495.0,,,,1,0.0,1,1125,True,0,0,0,214,2015-11-07
5631693,600.0,3000.0,,450.0,60.0,5,0.0,4,7,True,0,0,0,214,2015-11-07
2461909,600.0,,,,,1,0.0,3,3,True,0,0,0,23,2015-11-07
7901478,199.0,,,,50.0,1,0.0,2,1125,True,0,0,0,15,2015-11-07
2332927,700.0,,,,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
6461701,49.0,,,150.0,25.0,2,15.0,2,14,True,0,0,0,158,2015-11-07
7902095,240.0,,,500.0,75.0,1,0.0,2,7,True,13,13,13,69,2015-11-07
7902105,600.0,4200.0,17000.0,400.0,250.0,1,0.0,1,1125,True,30,60,90,360,2015-11-07
2266107,175.0,1100.0,,1000.0,75.0,2,0.0,3,14,True,0,0,0,127,2015-11-07
5510194,300.0,,,600.0,,1,0.0,2,1125,True,0,0,0,225,2015-11-07
5084388,1000.0,,,1000.0,200.0,1,0.0,1,1125,True,0,0,0,268,2015-11-07
5805293,500.0,,5000.0,,,1,0.0,1,1125,True,0,21,51,326,2015-11-07
760139,275.0,,,,,1,0.0,2,7,True,30,60,90,365,2015-11-07
8579011,285.0,,,300.0,50.0,3,25.0,3,1125,True,3,3,3,19,2015-11-07
3742694,450.0,4400.0,10000.0,1000.0,125.0,4,20.0,1,1125,True,16,29,48,270,2015-11-07
4188641,290.0,2100.0,8000.0,,80.0,1,0.0,2,1125,True,15,37,67,309,2015-11-07
