id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
5526151,$40.00,$250.00,$950.00,,,1,$20.00,1,7,t,18,34,64,154,2015-11-07
5031020,$40.00,,,,,1,$25.00,1,30,t,29,59,89,364,2015-11-07
320161,$55.00,,$795.00,$100.00,$75.00,2,$10.00,1,365,t,30,60,90,365,2015-11-07
8935521,$50.00,$300.00,"$1,000.00",,,1,$50.00,1,1125,t,28,28,28,28,2015-11-07
8213678,$41.00,$244.00,,$100.00,$25.00,2,$40.00,2,1125,t,0,0,0,38,2015-11-07
5917038,$100.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
6336913,$75.00,,,,,1,$0.00,1,1125,t,0,0,0,155,2015-11-07
8630542,$70.00,$400.00,"$1,400.00",,,1,$30.00,1,7,t,29,59,89,179,2015-11-07
74880,$65.00,$430.00,,,,1,$50.00,3,30,t,16,46,76,351,2015-11-07
74946,$55.00,,,,,1,$35.00,3,30,t,15,45,75,350,2015-11-07
5571370,$130.00,,,,,1,$15.00,1,1125,t,0,3,33,308,2015-11-07
7176906,$40.00,,,,,1,$0.00,1,1125,t,0,0,0,99,2015-11-07
966447,$150.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
5213588,$95.00,$640.00,,$100.00,$25.00,1,$0.00,1,1125,t,0,0,0,254,2015-11-07
4855796,$65.00,,,,$5.00,1,$20.00,1,1125,t,29,59,89,364,2015-11-07
8061794,$40.00,,,,$10.00,2,$30.00,1,1125,t,21,51,81,89,2015-11-07
2520888,$40.00,$200.00,$700.00,,,1,$0.00,1,7,t,19,21,40,40,2015-11-07
8497940,$65.00,$430.00,"$1,600.00",$150.00,$60.00,1,$0.00,2,1125,t,0,6,21,274,2015-11-07
4816948,$100.00,,,,$10.00,1,$20.00,1,1125,t,0,0,27,302,2015-11-07
347802,$99.00,,"$2,400.00",$250.00,$65.00,2,$10.00,1,90,t,12,32,59,331,2015-11-07
5523426,$185.00,"$1,200.00",,,,1,$0.00,1,1125,t,0,0,0,224,2015-11-07
6807754,$45.00,$200.00,$600.00,,,1,$0.00,1,1125,t,0,0,0,91,2015-11-07
2304959,$135.00,$850.00,"$3,200.00",$500.00,$75.00,4,$15.00,2,1125,t,9,28,58,333,2015-11-07
5477056,$35.00,,,,,1,$0.00,1,1125,t,0,0,0,205,2015-11-07
967091,$400.00,"$2,500.00",,,,1,$0.00,3,21,t,30,60,90,365,2015-11-07
1928538,$60.00,$399.00,"$1,400.00",$300.00,$75.00,1,$50.00,7,30,t,30,60,90,365,2015-11-07
6287793,$95.00,$798.00,"$1,800.00",$250.00,$65.00,2,$50.00,2,1125,t,15,41,71,71,2015-11-07
6586651,$60.00,,,,,1,$0.00,2,3,t,3,3,3,140,2015-11-07
3308591,$350.00,,,,$135.00,1,$0.00,2,180,t,7,21,48,312,2015-11-07
8826503,$50.00,$500.00,"$1,050.00",,,1,$7.00,14,1125,t,7,37,67,342,2015-11-07
2532718,$110.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
6404563,$80.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
7843621,$60.00,$315.00,,,,1,$0.00,1,1125,t,29,59,89,364,2015-11-07
5473833,$59.00,$400.00,"$1,500.00",$100.00,$30.00,2,$10.00,4,1125,t,30,60,90,365,2015-11-07
981623,$200.00,"$1,150.00",,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
4271028,$100.00,$600.00,,,,1,$0.00,1,6,t,30,60,90,365,2015-11-07
8567050,$175.00,$950.00,"$2,500.00",$100.00,$75.00,0,$0.00,1,1125,t,15,25,54,315,2015-11-07
945676,$71.00,$415.00,"$1,200.00",$100.00,$20.00,1,$0.00,2,14,t,0,0,0,126,2015-11-07
1721437,$125.00,$875.00,"$2,850.00",$250.00,$85.00,2,$25.00,2,1125,t,0,0,0,0,2015-11-07
5386336,$90.00,$550.00,"$1,750.00",,$40.00,1,$0.00,1,1125,t,17,33,61,324,2015-11-07
7440637,$100.00,$500.00,"$1,050.00",,,1,$7.00,27,1125,t,0,14,44,319,2015-11-07
8151698,$109.00,$565.00,"$1,995.00",$400.00,,1,$30.00,1,20,t,26,56,86,353,2015-11-07
1709120,$90.00,$520.00,,$100.00,,1,$0.00,1,1125,t,0,0,10,195,2015-11-07
3130995,$85.00,,"$1,500.00",$250.00,$50.00,2,$0.00,3,1125,t,7,35,65,337,2015-11-07
8549235,$200.00,,,,,1,$0.00,2,1125,t,15,33,33,51,2015-11-07
5590653,$800.00,,,,,1,$0.00,1,1125,t,0,0,0,218,2015-11-07
4270825,$64.00,$381.00,,,$30.00,2,$40.00,1,30,t,14,39,64,329,2015-11-07
5396207,$199.00,,,,,1,$0.00,3,14,t,30,60,90,90,2015-11-07
8291582,$100.00,,,$500.00,$50.00,3,$25.00,2,1125,t,0,0,0,49,2015-11-07
8016745,$90.00,,,,$20.00,5,$30.00,1,1125,t,5,14,22,90,2015-11-07
8577980,$495.00,,,$200.00,$80.00,1,$0.00,2,1125,t,30,60,83,157,2015-11-07
8221372,$94.00,,,,$10.00,1,$0.00,1,1125,t,26,56,86,361,2015-11-07
4435703,$160.00,,,,,1,$0.00,1,1125,t,15,45,75,350,2015-11-07
4376231,$79.00,,,,$10.00,1,$0.00,1,14,t,27,57,87,361,2015-11-07
5265366,$156.00,$928.00,,,$25.00,4,$15.00,1,1125,t,0,14,22,244,2015-11-07
5074095,$600.00,"$3,400.00",,$300.00,,1,$0.00,3,7,t,0,0,0,269,2015-11-07
8390149,$180.00,,,$200.00,$30.00,1,$0.00,2,15,t,0,0,0,28,2015-11-07
3905528,$300.00,,,$100.00,,1,$0.00,1,4,t,30,60,90,365,2015-11-07
9025225,$300.00,,,,$109.00,1,$0.00,2,1125,t,0,0,0,0,2015-11-07
2227127,$230.00,,,$300.00,$65.00,1,$0.00,4,7,t,29,59,89,364,2015-11-07
367356,$185.00,,"$3,350.00",$400.00,$80.00,2,$0.00,2,1125,t,13,28,39,314,2015-11-07
1329922,$115.00,$500.00,"$1,500.00",,$90.00,1,$0.00,3,31,t,22,38,38,252,2015-11-07
2419588,$150.00,,,,$60.00,1,$0.00,2,10,t,7,10,40,315,2015-11-07
5355271,$125.00,,,$400.00,$150.00,4,$15.00,2,1125,t,0,0,0,239,2015-11-07
4066631,$217.00,"$1,351.00","$4,767.00",,$70.00,2,$50.00,1,1125,t,30,60,90,365,2015-11-07
5251173,$200.00,,,,$50.00,1,$0.00,2,1125,t,0,0,0,251,2015-11-07
4044213,$95.00,,,,,2,$5.00,1,1125,t,1,9,9,163,2015-11-07
224603,$89.00,$545.00,"$1,490.00",,$35.00,2,$18.00,3,180,t,16,38,68,158,2015-11-07
6025598,$295.00,,,$150.00,$100.00,1,$0.00,2,1125,t,16,39,69,341,2015-11-07
934074,$175.00,,"$2,000.00",,$40.00,3,$0.00,2,90,t,11,41,71,314,2015-11-07
367445,$101.00,$650.00,"$2,000.00",,,2,$10.00,3,180,t,10,40,70,338,2015-11-07
8722354,$300.00,,,,,1,$0.00,1,1125,t,0,0,0,7,2015-11-07
3231698,$165.00,,,$200.00,,1,$0.00,2,1125,t,0,3,33,308,2015-11-07
920034,$130.00,$750.00,"$1,950.00",,$75.00,1,$0.00,3,1125,t,17,42,42,262,2015-11-07
5499771,$125.00,"$2,300.00",,$400.00,$100.00,4,$25.00,2,1125,t,0,22,25,275,2015-11-07
2519952,$200.00,,,$200.00,$50.00,5,$25.00,1,1125,t,30,60,90,365,2015-11-07
5873238,$83.00,,,$95.00,$30.00,1,$0.00,1,1125,t,12,29,57,328,2015-11-07
6896727,$65.00,,,,,1,$0.00,1,1125,t,0,0,0,116,2015-11-07
