id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
5205299,23185858,Liz,2014-10-31,"Austin, Texas, United States",within a few hours,0.9,0.91,False,,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
2036294,10381875,Patricia,2013-12-02,"Austin, Texas, United States",within a few hours,1.0,1.0,False,Brentwood,1.0,"['email', 'phone', 'reviews', 'jumio']",True,True
7728618,33666377,Caleb,2015-05-18,"Austin, Texas, United States",,,,False,Brentwood,3.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",True,True
5673558,29237885,Scott,2015-03-12,US,within a day,0.9,0.93,True,Allendale,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,True
4208511,21536850,Judi,2014-09-19,"Austin, Texas, United States",within a few hours,1.0,1.0,False,Rosedale,2.0,"['email', 'phone', 'reviews']",True,True
3798024,2194671,Louie,2012-04-22,"Austin, Texas, United States",within a few hours,1.0,0.5,False,Rosedale,2.0,"['email', 'phone', 'reviews', 'jumio']",True,True
1556027,4641823,Erica,2013-01-09,"Austin, Texas, United States",within a few hours,1.0,0.88,False,Upper Boggy Creek,339.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,True
5340370,27674647,Tera,2015-02-13,"Austin, Texas, United States",,,,False,Brentwood,1.0,"['email', 'phone']",True,True
8731536,45815628,Victoria,2015-10-05,"Austin, Texas, United States",,,,False,Allendale,1.0,"['phone', 'facebook']",True,True
8888471,12399486,Julie,2014-02-19,"Austin, Texas, United States",within a few hours,0.8,1.0,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']",True,True
4235416,4779911,Jeanne Claire,2013-01-20,"Austin, Texas, United States",within an hour,0.9,1.0,False,Brentwood,1.0,"['email', 'phone', 'reviews', 'jumio', 'kba']",True,True
5415298,28073297,Ryan,2015-02-20,"Austin, Texas, United States",,,,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
867806,245617,Peter,2010-09-26,"Austin, Texas, United States",within an hour,1.0,1.0,False,Allendale,2.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",True,True
3810677,4641823,Erica,2013-01-09,"Austin, Texas, United States",within a few hours,1.0,0.88,False,Upper Boggy Creek,339.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,True
5660770,16750616,Rosalind,2014-06-13,"Austin, Texas, United States",,,,False,Brentwood,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
767425,1660838,Tatiana,2012-01-27,"Austin, Texas, United States",within a day,0.89,1.0,False,Brentwood,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",True,True
4151271,21536850,Judi,2014-09-19,"Austin, Texas, United States",within a few hours,1.0,1.0,False,Rosedale,2.0,"['email', 'phone', 'reviews']",True,True
5458052,28195166,Whitney,2015-02-22,"Austin, Texas, United States",,,,False,Allendale,1.0,"['email', 'phone']",True,True
5457288,28304366,Annemarie,2015-02-24,"Austin, Texas, United States",within an hour,1.0,1.0,True,Brentwood,1.0,"['email', 'phone', 'reviews']",True,True
7980816,27637240,Leslie,2015-02-12,"Austin, Texas, United States",within an hour,1.0,1.0,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",True,True
1068507,2690825,Maytal,2012-06-20,"Austin, Texas, United States",within a day,1.0,,False,Rosedale,1.0,"['email', 'phone', 'reviews']",True,True
3742420,1488733,Brooke,2011-12-09,"Austin, Texas, United States",within a day,0.54,0.93,False,Zilker,21.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",True,True
1956451,358081,Michelle,2011-01-22,US,,,,False,Rosedale,1.0,"['email', 'phone', 'reviews']",True,True
4219174,10453628,Amanda,2013-12-05,"Austin, Texas, United States",,,,False,Rosedale,1.0,"['email', 'phone', 'linkedin', 'kba']",True,True
1242559,582827,Troy,2011-05-12,"Austin, Texas, United States",within a few hours,1.0,0.75,True,Allendale,2.0,"['email', 'phone', 'reviews', 'kba']",True,True
4291414,22234571,Cathleen,2014-10-07,"Austin, Texas, United States",within an hour,1.0,0.9,False,Rosedale,2.0,"['email', 'phone', 'google', 'reviews']",True,True
6288166,32689270,James,2015-05-05,"Austin, Texas, United States",within an hour,1.0,1.0,False,Allendale,1.0,"['email', 'phone', 'reviews', 'jumio']",True,True
1011620,5564649,Duane,2013-03-21,"Austin, Texas, United States",within an hour,1.0,1.0,False,Allendale,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",True,True
1535250,8187341,Natalya,2013-08-15,"Austin, Texas, United States",within a day,0.9,1.0,False,Brentwood,1.0,"['phone', 'reviews']",True,True
5992071,11709743,Dustin,2014-01-27,"Austin, Texas, United States",within an hour,1.0,,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews']",True,True
8186030,7988240,Alex,2013-08-06,"Austin, Texas, United States",within a day,0.9,0.5,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",True,True
5565604,22299444,Adam,2014-10-08,"Austin, Texas, United States",within an hour,1.0,0.85,False,Travis Heights,8.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",True,True
683017,3434513,Marty,2012-08-31,"Austin, Texas, United States",,,,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'linkedin']",True,True
8186176,27344698,Lizan,2015-02-07,"Austin, Texas, United States",within a few hours,1.0,0.75,False,Rosedale,1.0,"['email', 'phone', 'reviews', 'kba']",True,True
2250253,627048,Lisa,2011-05-25,"Austin, Texas, United States",,,,False,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
971370,5284197,Karen,2013-03-02,"Austin, Texas, United States",within a few hours,1.0,1.0,False,Allendale,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
5459498,28319094,Jessica,2015-02-25,"Austin, Texas, United States",,,,False,Brentwood,1.0,"['email', 'phone', 'facebook']",True,True
2474218,11817260,Sharon,2014-01-31,"Austin, Texas, United States",,,,False,Brentwood,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,True
4309531,22369347,Sarah,2014-10-10,"Austin, Texas, United States",within an hour,1.0,1.0,True,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
