id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4202378,"New Stylish Guest House-ACL, F1...",12868923,Roanna,78756,30.32240761707721,-97.7422678697839,Entire home/apt,144,2,8,2015-04-25,0.61,1,354
2406050,SXSW 1BD/BTH Apartment,941206,Andrew,78756,30.31182907593553,-97.74371472310999,Entire home/apt,200,2,0,,,1,365
5174831,empty room available for SXSW,20631833,Aurora,78756,30.30811208036016,-97.74259526805392,Entire home/apt,150,1,0,,,1,258
6796522,Gorgeous Rosedale home plus apt,35575004,Heidi,78756,30.31384554094431,-97.74745369150357,Entire home/apt,699,3,0,,,1,364
2454577,"Central home, spacious with pool!",10467446,Tim,78756,30.312022687849414,-97.74864880381409,Entire home/apt,625,1,2,2014-05-19,0.1,1,365
461404,Cute & Cozy Central Austin House   ,1021729,Nita,78756,30.32225032352489,-97.72960014777382,Entire home/apt,102,2,20,2015-10-26,0.56,1,293
5506252,SXSW 2B/1BA - Duplex in Rosedale ,2097361,Randy,78756,30.31404319610666,-97.74815382741009,Entire home/apt,250,1,0,,,1,225
951537,Central Austin 1 bedroom Apt,5160284,Nikki,78756,30.325056823163532,-97.72838748250635,Entire home/apt,70,3,8,2015-09-27,0.55,2,247
8652103,Modern Apt with Cinema + Pool,28585339,Eric,78756,30.31867810883615,-97.73205843130772,Entire home/apt,119,2,0,,,1,332
330705,Rooms Available June and July,1687198,M. Ann,78756,30.32339417915733,-97.73763789523407,Private room,300,14,1,2012-03-17,0.02,1,365
329129,SPACIOUS 2/2 NEAR DOWNTOWN 3 story,1680692,Jennifer,78756,30.312729091187297,-97.74810178009064,Entire home/apt,199,1,30,2015-02-03,0.67,1,310
3689085,Welcome - TajMaSmall Guest Suite,18775364,Just,78756,30.33227339474725,-97.73670455000206,Entire home/apt,97,1,61,2015-11-03,4.84,1,324
2077867,Cabin in the City,56895,Daniel,78756,30.328880343370837,-97.7363529851132,Entire home/apt,125,3,46,2015-10-25,2.05,1,11
5309636,Hyde Park | no. 2,21597290,Sofia,78756,30.31829713595741,-97.73248687242851,Entire home/apt,97,2,5,2015-11-01,0.61,4,360
5447456,Tech equipped 1 BR,28256866,Jordan,78756,30.32667028873773,-97.73505715699795,Entire home/apt,118,3,5,2015-10-27,0.89,1,205
4156939,Hyde Park | no. 1,21597290,Sofia,78756,30.31802008251755,-97.73152097750558,Entire home/apt,163,2,32,2015-11-02,2.62,4,358
3041605,Spacious 4/3 in Central Austin,15438805,EmilyAnne,78756,30.326314916696788,-97.73485253743704,Entire home/apt,400,3,0,,,1,365
7128645,Stay in Central Austin for July 4th,33666377,Caleb,78756,30.320539664558478,-97.73262484296636,Entire home/apt,125,1,1,2015-07-05,0.24,3,102
2041310,Capitol Court Midtown Lodge,475506,Dan,78756,30.31851991919617,-97.73229353412157,Entire home/apt,169,2,50,2015-10-21,2.42,2,341
4211596,4/3!! Super spacious!!,21856018,Alison,78756,30.324474096413933,-97.73670526240414,Entire home/apt,650,1,1,2015-03-25,0.13,1,360
5551188,SXSW Immediate Private Apartment,28774961,Madeleine,78756,30.319874085286322,-97.73082848017674,Entire home/apt,300,1,1,2015-03-24,0.13,1,221
7287162,Central Colorful  Artist  home,38159186,Robbin,78756,30.316281635978626,-97.74503415568329,Private room,75,2,17,2015-10-29,4.77,1,124
8001134,Hip and homey vintage bungalow.,27756476,Scott,78756,30.3247572733808,-97.74353122241493,Private room,60,1,2,2015-10-14,1.71,1,349
593102,Rosedale's Casa Blanca: ACL/Form 1 ,2852664,Lori,78756,30.31543553669823,-97.74510780415295,Entire home/apt,500,2,2,2013-03-12,0.06,1,365
8032556,3BR/2BA Immaculate Rosedale House,42412174,Kurt,78756,30.315571628887223,-97.74477207696836,Entire home/apt,157,2,6,2015-10-30,3.75,1,137
4264342,Ramsey Park Cottage,9541452,Laura,78756,30.312435017325125,-97.74581610690815,Entire home/apt,180,3,8,2015-10-29,0.64,1,335
8098372,Super Hip Modern Home 86 Walk Score,15782486,Top Trip Rentals,78756,30.32114817733088,-97.73898977368894,Entire home/apt,172,1,2,2015-10-18,1.05,8,364
3281553,Gorgeous Central Austin Bungalow,7335335,Lorna,78756,30.31473345340269,-97.7384898206928,Entire home/apt,399,1,2,2015-10-26,0.72,2,286
1643831,Cozy and Private Garage Apartment,8724842,Jennifer,78756,30.32669489549484,-97.73494396481316,Entire home/apt,63,3,0,,,1,22
8612362,Walkable. Central. Quiet. Home.,2488342,Dana,78756,30.317757168645873,-97.74135186321173,Entire home/apt,75,2,1,2015-10-19,1.0,1,75
5040775,Quiet studio apt in central Austin ,5409929,Mark,78756,30.328010259952947,-97.7372722070675,Entire home/apt,60,2,14,2015-10-08,1.5,1,1
5237709,"Cozy 1940's cottage, Central Austin",8925891,Apryl,78756,30.330126414262143,-97.73483554875256,Entire home/apt,95,3,4,2015-10-13,0.51,1,241
5205299,Affordable room in Brentwood!,23185858,Liz,78756,30.32321866219525,-97.73521195584591,Private room,60,1,16,2015-10-25,2.05,1,343
2036294,Updated Mid-Century Home 2Bd-1.5Ba,10381875,Patricia,78756,30.322891820148328,-97.73069591826594,Entire home/apt,185,3,3,2014-12-28,0.14,1,247
7728618,Stay at my apartment while I'm away,33666377,Caleb,78756,30.319082086679746,-97.73085675773594,Entire home/apt,90,1,0,,,3,68
5673558,Private BDRM close to downtown/UT,29237885,Scott,78756,30.319333383668386,-97.74138954707807,Private room,49,1,26,2015-10-24,4.62,2,273
4208511,Charming Historic SXSW Ideal,21536850,Judi,78756,30.30661797348232,-97.74358999060641,Entire home/apt,600,2,0,,,2,17
3798024,Lovely Garage Apt in Central Austin,2194671,Louie,78756,30.315040023134433,-97.7448839934265,Entire home/apt,100,2,3,2015-09-01,0.36,2,323
1556027,"2BR Remodeled House, Central Austin",4641823,Erica,78756,30.33324335857657,-97.74069830173723,Entire home/apt,172,2,2,2015-03-20,0.12,7,310
5340370,"1/1 + pets + laundry, sleeps 4-6!",27674647,Tera,78756,30.329657316512126,-97.7358225062702,Entire home/apt,150,3,0,,,1,241
8731536,"ACL weekend, 1 bdrm, cottage home.",45815628,Victoria,78756,30.31825351921444,-97.74376658280426,Private room,200,1,0,,,1,7
8888471,Rosedale Bungalow Fully Furnished,12399486,Julie,78756,30.31119966745841,-97.74274694355694,Entire home/apt,190,7,0,,,1,145
4235416,Cool apartment in Central Austin,4779911,Jeanne Claire,78756,30.32660880391169,-97.7316738549373,Entire home/apt,85,1,23,2015-10-22,1.77,1,158
5415298,Great Hyde Park Loc during SXSW!,28073297,Ryan,78756,30.311561554709098,-97.74230577908008,Entire home/apt,175,1,2,2015-03-23,0.26,1,233
867806,Beautiful Allandale Flat,245617,Peter,78756,30.331932580757915,-97.74268622038313,Entire home/apt,89,2,2,2015-09-08,0.59,1,263
3810677,2BR Authentic Central Austin!,4641823,Erica,78756,30.314385619209872,-97.73835991986972,Entire home/apt,170,2,2,2014-10-21,0.14,7,278
5660770,Sunny Brentwood Home,16750616,Rosalind,78756,30.32451220751739,-97.73311655516514,Entire home/apt,370,2,0,,,1,211
767425,3BR Stylish New Austin Modern,1660838,Tatiana,78756,30.329326599232374,-97.733084309278,Entire home/apt,114,3,21,2015-10-02,0.64,1,358
4151271,CLASSIC CASITA  CLOSE TO DOWNTOWN,21536850,Judi,78756,30.306482147471808,-97.74563488070494,Entire home/apt,143,2,4,2015-10-17,0.32,2,236
5458052,Central Austin Home for SXSW,28195166,Whitney,78756,30.333787022587792,-97.74255484330368,Entire home/apt,750,1,0,,,1,229
5457288,The Skylight Modern ,28304366,Annemarie,78756,30.333332826633576,-97.7367752108877,Entire home/apt,115,2,23,2015-10-24,2.85,1,359
7980816,Central Austin Garage Apt: Sleeps 4,27637240,Leslie,78756,30.311161530929688,-97.74596809694063,Entire home/apt,90,2,7,2015-10-26,3.39,1,354
1068507,Beautiful Home in Cental Austin,2690825,Maytal,78756,30.311308629609012,-97.74018125818279,Entire home/apt,180,1,2,2013-08-12,0.07,1,162
3742420,The Woodrow - 3br/1ba -On Bus Line!,1488733,Brooke,78756,30.327455938261718,-97.73294482410437,Entire home/apt,180,2,15,2015-10-10,1.17,17,328
1956451,Fab Modern 2/2 Central Austin,358081,Michelle,78756,30.313048146990862,-97.74036218301735,Entire home/apt,499,4,1,2015-03-16,0.13,1,365
4219174,Comfortable 1 bedroom apartment,10453628,Amanda,78756,30.309689895472356,-97.74130072593731,Entire home/apt,400,1,0,,,1,365
1242559,Harmony House - Central Austin,582827,Troy,78756,30.320847234841427,-97.74909343951016,Entire home/apt,150,2,5,2015-03-21,0.18,2,363
4291414,Spacious Bungalow in Central Austin,22234571,Cathleen,78756,30.31381898299274,-97.7395985017582,Entire home/apt,200,2,5,2015-10-12,0.63,2,189
6288166,Comfortable House near UT Campus,32689270,James,78756,30.31947807038949,-97.74130209645348,Entire home/apt,100,1,2,2015-08-28,0.32,1,0
1011620,Cute Ranch - Austin Allendale Area,5564649,Duane,78756,30.32958872049058,-97.74404151261768,Entire home/apt,225,2,1,2013-05-29,0.03,1,343
1535250,Cute apartment in central Austin!!,8187341,Natalya,78756,30.32724992505205,-97.73823633789549,Entire home/apt,85,2,36,2015-10-22,1.37,1,296
5992071,Central Austin Craftsman Sleeps 4,11709743,Dustin,78756,30.310824416902925,-97.7479855998705,Entire home/apt,175,2,0,,,1,318
8186030,Cozy 1 bedroom in central location,7988240,Alex,78756,30.307963230015154,-97.74673687903393,Entire home/apt,95,1,1,2015-10-10,1.0,1,350
5565604,3 BR Rosedale Home @ Central Austin,22299444,,78756,30.31057755420069,-97.74445974452334,Entire home/apt,106,30,5,2015-05-12,0.67,2,346
683017,Central Austin Modern Elegance,3434513,Marty,78756,30.31319456998555,-97.74200692448505,Entire home/apt,800,3,0,,,1,365
8186176,250sq-ft New Studio - Cent. Austin,27344698,Lizan,78756,30.31081942686223,-97.74219236217331,Entire home/apt,135,2,2,2015-10-13,1.43,1,349
2250253, SXSW Cancel- Central ATX  Cottage,627048,Lisa,78756,30.322663408486072,-97.73276023008872,Entire home/apt,399,4,0,,,1,365
971370,Vibrant room in Central Austin,5284197,Karen,78756,30.31932344052168,-97.7458502540727,Private room,55,2,8,2015-09-18,0.39,1,310
5459498,Two Bed One Bath Central Austin,28319094,Jessica,78756,30.325209166895032,-97.73860364270331,Entire home/apt,250,1,0,,,1,0
2474218,SXSW Space w/Access to 3 BusStops,11817260,Sharon,78756,30.32396584330227,-97.73581849255602,Shared room,75,1,0,,,1,365
4309531,Central Austin/Rosedale Garage Apt!,22369347,Sarah,78756,30.3117605856986,-97.74469967467778,Entire home/apt,185,2,13,2015-11-01,1.01,1,341
2722858,Charming 3/2 in Central Austin,13933587,LaShawn,78756,30.32114126861238,-97.74304960677291,Entire home/apt,199,1,5,2015-10-27,0.44,1,243
1850056,Mid-Town Contemporary Home,7695107,Dawn,78756,30.311746124329428,-97.73990996513149,Entire home/apt,350,5,0,,,1,314
8301191,spacious two story townhome,43768510,Dorothy,78756,30.32608511574537,-97.73239708760269,Entire home/apt,85,1,0,,,1,33
6463905,The Parker!,33666377,Caleb,78756,30.319197700948266,-97.73069257233529,Entire home/apt,97,1,1,2015-06-13,0.2,3,146
5576522,Super Sweet Spot - Walk Everywhere!,28913211,Jessica,78756,30.327945451895875,-97.73831477872105,Entire home/apt,61,2,7,2015-10-05,0.95,1,219
627784,Charming Home in Central Austin,2194671,Louie,78756,30.316232900502964,-97.74690702623045,Entire home/apt,120,14,5,2015-06-28,0.25,2,26
528160,*****Home to Rent for SXSW*****,2595087,Sinclair,78756,30.316097785314003,-97.74367960780451,Entire home/apt,700,2,0,,,1,365
362460,SXSW  Bungalow Available 2/1,1831617,Chris,78756,30.31725341280095,-97.74402603308904,Entire home/apt,625,4,0,,,1,365
5309717,HYDE PARK | YOU ARE HERE,21597290,Sofia,78756,30.319480400529837,-97.73084113389434,Entire home/apt,700,2,5,2015-09-21,0.83,4,234
5641626,Great Cozy 2/1 close to downtown!!,29237885,Scott,78756,30.31878240418612,-97.73998660913297,Entire home/apt,250,3,1,2015-03-17,0.13,2,214
312499,Great Modern Home in Central Austin,1606567,Brooke,78756,30.32284148691425,-97.73719644759878,Entire home/apt,160,6,1,2012-03-15,0.02,1,310
5543526,Home away from home,18890567,Stephanie,78747,30.147468749449462,-97.73841111985556,Private room,40,1,21,2015-09-18,2.67,2,89
5455707,Master Suite,27950887,Jonn,78747,30.1506453003086,-97.74179608467512,Private room,33,1,69,2015-11-05,8.41,1,124
5768100,2 Bedrooms - 2-6 People!,27950887,,78747,30.15225209105069,-97.7414614984388,Private room,59,1,0,,,1,22
8627429,Safe gated apartment for festival,38866732,Jessica,78747,30.148664133295775,-97.79292208788974,Shared room,65,1,0,,,1,365
5660966,Crash pad and it ain't bad!,27950887,Jonn,78747,30.151664546339113,-97.74168796151415,Shared room,22,1,32,2015-11-05,4.57,1,29
5499091,Private Room with shared bath,27950887,Jonn,78747,30.151757671446386,-97.74027377860384,Private room,27,1,32,2015-11-05,4.0,1,41
8273490,"Large 2,400 sq ft for F1",2779438,Rob,78747,30.1549017601432,-97.78657992647894,Entire home/apt,350,2,0,,,1,364
5685241,Home Sweet Home,29476848,Angie,78747,30.160296021561827,-97.73756171769828,Private room,80,1,1,2015-10-26,1.0,1,361
6628509,Sleeps 6! 2 Bedrooms and a loft!,27950887,Jonn,78747,30.150847988519804,-97.74013564726187,Private room,80,1,1,2015-07-05,0.24,1,49
5525252,"2 Guest Bedrooms, 9 miles from dt",28654087,Meagan,78747,30.14068783666311,-97.79358923602376,Private room,450,1,0,,,1,223
5526151,"Spacious New Home, Queen Bed & Bath",28660079,Enrique KiKo,78747,30.155364578067363,-97.74355612557095,Private room,40,1,10,2015-10-27,1.26,1,154
5031020,Home away from home,18890567,Stephanie,78747,30.146202369088346,-97.74003652854584,Private room,40,1,26,2015-09-26,3.31,2,364
320161,South Austin / Home sweet Home,1427814,Andrea,78747,30.162039960032764,-97.73744485012207,Private room,55,1,5,2015-06-30,0.11,10,365
8935521,"Spacious, Sunny Home",8121594,Patricia,78747,30.14233211944232,-97.77902957854656,Private room,50,1,0,,,1,28
8213678,Upscale Texas-Sized Master Bedroom!,13516248,Adan,78747,30.157680860869505,-97.7424658547262,Private room,41,2,4,2015-10-25,1.94,1,38
5917038,Private room for rent (Queen bed),27656963,Emily,78747,30.156359998896107,-97.73616557123331,Private room,100,1,0,,,1,365
6336913,1100 sq ft 2 bed/ 2 bath,32994047,Jessica,78747,30.151188644891032,-97.79089833700772,Entire home/apt,75,1,3,2015-06-07,0.54,1,155
8630542,Sun Drenched Room in South Austin,8121594,,78747,30.142434788136264,-97.77824676445213,Private room,70,1,3,2015-10-24,2.65,1,179
74880,"Comfy in Central Austin, Free Bikes",395036,Nicholas,78751,30.30779231775667,-97.71789212970094,Private room,65,3,10,2015-10-05,0.23,2,351
